Tilltalsnamn,Antal bärare
Abdisatar,2
Abdiselam,2
Abdishakor,2
Abdishakour,2
Abdishakur,163
Abdishakuur,11
Abdishukri,6
Abdishukur,4
Abdissa,2
Abdiwaahid,2
Abdiwadud,7
Abdiwaduud,2
Abdiwahaab,6
Abdiwahab,94
Abdi-Wahab,3
Abdiwahid,43
Abdiwakil,2
Abdiwali,83
Abdiwasa,8
Abdiwasac,5
Abdi-Weli,3
Abdiweli,43
Abdiyare,5
Abdizalan,2
Abdl,5
Abdla,2
Abdlaziz,2
Abdlkarim,2
Abdlla,3
Abdllah,3
Abdlmalek,2
Abdlrahman,6
Abdo,191
Abdoallah,3
Abdoh,3
Abdol,51
Abdola,2
Abdolah,12
Abdolahad,7
Abdolali,6
Abdolamir,9
Abdolazim,2
Abdolaziz,4
Abdolhamid,15
Abdolhassan,3
Abdolhossein,14
Abdoljabbar,2
Abdoljalil,2
Abdolkarem,2
Abdolkarim,13
Abdolkhalegh,5
Abdoll,2
Abdolla,8
Abdollah,78
Abdolmajid,9
Abdolmehdi,2
Abdolmonem,2
Abdolnaser,6
Abdolnasser,2
Abdolrahim,11
Abdolrahman,12
Abdolraouf,2
Abdolrasool,2
Abdolrazagh,2
Abdolreza,47
Abdolsaheb,2
Abdolsamad,3
Abdon,4
Abdorahman,4
Abdorreza,2
Abdou,104
Abdoul,52
Abdoula,2
Abdoulah,2
Abdoulai,2
Abdoulaye,54
Abdoulaziz,2
Abdoulhamid,2
Abdoulie,143
Abdoulkader,12
Abdoulkarim,5
Abdoullah,16
Abdoulrahman,6
Abdourahamane,2
Abdourahman,33
Abdourahmane,4
Abdourazack,2
Abdourazak,2
Abdousalam,2
Abdow,7
Abdrahman,17
Abdrirahman,2
Abdsalam,2
Abdu,170
Abdu Rahman,2
Abduallah,8
Abdualrahman,4
Abdualrhman,2
Abduaziz,4
Abduelhadi,2
Abdufatah,2
Abdugaffor,2
Abdugani,4
Abduhakim,2
Abdukader,3
Abdukadir,40
Abdukarim,5
Abdukhader,3
Abdukhadir,2
Abdul,2542
Abdul Ahad,5
Abdul Ali,3
Abdul Aziz,13
Abdul Basit,3
Abdul Ghani,2
Abdul Hadi,11
Abdul Hakim,2
Abdul Halim,3
Abdul Hamid,3
Abdul Jabbar,2
Abdul Jalil,3
Abdul Kader,2
Abdul Kadir,3
Abdul Karim,6
Abdul Latif,3
Abdul Majid,5
Abdul Malik,4
Abdul Qadir,2
Abdul Rahman,24
Abdul Rashid,2
Abdul Rauf,3
Abdul Razak,2
Abdul Reda,2
Abdul Rehman,3
Abdul Salam,6
Abdul Wahab,2
Abdul Wali,2
Abdula,42
Abdulaa,2
Abdulaah,2
Abdulaahi,31
Abduladheem,2
Abduladif,2
Abdulah,107
Abdulahad,111
Abdul-Ahad,6
Abdulahat,4
Abdulahd,2
Abdulahi,400
Abdulahi Said,2
Abdulahmad,2
Abdulai,11
Abdulakh,2
Abdulalem,3
Abdulali,9
Abdulalim,10
Abdulameer,8
Abdulameir,2
Abdulamir,20
Abdul-Amir,2
Abdulasis,7
Abdulateef,8
Abdulatef,3
Abdulathim,2
Abdulati,2
Abdulatif,32
Abdulazeem,2
Abdulazeez,27
Abdulazez,4
Abdulazim,9
Abdulazis,2
Abdulaziz,392
Abdul-Aziz,8
Abdulbaki,20
Abdulbaqi,8
Abdulbari,20
Abdulbaset,42
Abdulbashir,2
Abdulbasid,7
Abdulbasir,10
Abdulbasit,15
Abdulboriy,2
Abdulcadir,2
Abdulcelil,4
Abdulelah,32
Abdulellah,3
Abduletif,3
Abdulfataah,3
Abdulfatah,63
Abdulfattah,30
Abdulfazl,3
Abdulfeta,2
Abdulfetah,5
Abdulfitah,4
Abdulgaadir,2
Abdulgader,4
Abdulgadir,19
Abdulgani,12
Abdulghader,2
Abdulghafar,3
Abdulghaffar,2
Abdulghafour,5
Abdulghafur,3
Abdulghani,72
Abdulhabib,2
Abdulhade,3
Abdulhadi,129
Abdul-Hadi,2
Abdulhady,5
Abdulhafeez,2
Abdulhafez,4
Abdulhafid,2
Abdulhafiid,3
Abdulhafiz,11
Abdulhai,20
Abdulhak,5
Abdulhakam,4
Abdulhakeem,12
Abdulhakem,6
Abdul-Hakim,2
Abdulhakim,109
Abdulhaleem,4
Abdulhalem,3
Abdulhalik,2
Abdulhalim,29
Abdul-Halim,6
Abdulhamed,10
Abdulhameed,19
Abdul-Hamid,3
Abdulhamid,144
Abdulhamit,6
Abdulhanan,3
Abdulhannan,8
Abdulhaq,3
Abdulhasan,2
Abdulhasib,3
Abdulhay,8
Abdulhmed,2
Abdulhusain,2
Abdulhussain,2
Abdulhussein,17
Abdulie,2
Abdulilah,30
Abduljabar,15
Abduljabbar,24
Abduljaleel,2
Abduljalil,22
Abduljawad,10
Abdulkaadir,3
Abdulkabir,2
Abdulkader,324
Abdul-Kadir,2
Abdulkadir,568
Abdulkafi,5
Abdulkahar,3
Abdulkamil,2
Abdulkani,4
Abdul-Kareem,2
Abdulkareem,65
Abdulkarem,10
Abdulkarim,346
Abdul-Karim,12
Abdulkazem,2
Abdulkerim,41
Abdul-Kerim,2
Abdulkhader,6
Abdulkhadir,8
Abdulkhalegh,2
Abdul-Khalek,2
Abdulkhalek,13
Abdulkhaleq,9
Abdulkhalik,9
Abdulkhaliq,14
Abdulkhalk,2
Abdulkrim,2
Abdull,20
Abdulla,343
Abdullaa,2
Abdullaah,3
Abdullaahi,27
Abdullah,2713
Abdullahad,5
Abdullahat,2
Abdullahel,2
Abdullahi,1527
Abdullahi Hassan,2
Abdullakh,2
Abdullali,2
Abdullateef,4
Abdullatef,5
Abdullatif,110
Abdul-Latif,2
Abdullaziz,10
Abdulle,8
Abdullh,4
Abdullha,4
Abdullhadi,3
Abdullhamid,3
Abdullkadir,2
Abdullkarim,5
Abdullnaser,2
Abdullo,3
Abdulloh,8
Abdullokh,7
Abdullrahim,2
Abdullrahman,26
Abdullrhman,4
Abdulmaajid,2
Abdulmaalik,2
Abdulmagid,2
Abdulmahdi,8
Abdulmajed,12
Abdulmajeed,11
Abdulmajid,70
Abdulmalak,3
Abdulmalek,55
Abdul-Malik,9
Abdulmalik,33
Abdulmalk,2
Abdulmanan,10
Abdulmannan,12
Abdulmanon,2
Abdulmaseeh,3
Abdulmaseh,5
Abdulmasih,50
Abdulmassih,5
Abdulmatin,3
Abdulmawla,3
Abdulmecit,5
Abdulmehdi,2
Abdulmelik,6
Abdulmenaf,2
Abdulmenem,3
Abdulmesih,10
Abdulmjid,2
Abdulmohaimen,8
Abdulmohsen,5
Abdulmohsin,4
Abdulmoin,3
Abdulmola,2
Abdulmonem,12
Abdul-Monem,2
Abdulmotaleb,2
Abdulmoti,2
Abdulmoumen,2
Abdulmounem,4
Abdulmuain,4
Abdulmueen,3
Abdulmuiz,3
Abdulmuizz,2
Abdulmujib,2
Abdulmunem,17
Abdulmunim,2
Abdulmutaleb,3
Abdulmuti,3
Abdulmuttalip,3
Abdulnabi,4
Abdulnaser,56
Abdulnasir,13
Abdulnasser,23
Abdul-Nasser,2
Abdulnassir,2
