Tilltalsnamn,Antal bärare
Félicia,7
Felicia,1333
Feliciah,3
Felicidad,10
Felicie,4
Félicie,5
Feliciha,3
Felicija,9
Felicisima,2
Felicita,6
Felicitas,25
Felicite,4
Félicité,3
Felicity,67
Felicja,12
Felicya,2
Felie,4
Feliksa,5
Felina,9
Felinda,3
Feline,28
Féline,3
Felipa,8
Felippa,13
Felis,7
Felisa,15
Felise,2
Felisia,26
Felismina,2
Felista,2
Felitzia,2
Felix,27
Feliz,19
Felize,8
Felizia,259
Felizitas,4
Fella,4
Fellanza,3
Felle,2
Fellenza,3
Fëllënza,2
Fellicia,3
Fellisa,2
Felor,3
Felora,4
Fely,9
Fema,2
Femi,9
Femija,2
Femije,2
Femina,3
Femke,37
Femme,3
Femmy,2
Fen,13
Fenan,4
Fenar,2
Fendi,5
Fenek,6
Fenella,5
Fener,3
Fenet,4
Feng,22
Fengjiao,2
Fengjuan,6
Fengmei,6
Fengping,4
Fengqin,2
Fengqing,2
Fengyan,4
Fengying,3
Fenia,2
Fenik,5
Fenix,4
Fenja,51
Fenk,9
Fenna,14
Fenne,2
Fenni,2
Fennie,2
Fenny,4
Fenya,5
Fenying,2
Feodora,2
Ferah,6
Ferahat,2
Ferahnaz,2
Ferangis,2
Ferasat,2
Feraset,2
Ferashta,2
Feray,9
Ferda,13
Ferdag,2
Ferdana,2
Ferdane,48
Ferdaos,3
Ferdaous,3
Ferdaus,5
Ferdaws,5
Ferdez,2
Ferdeze,9
Ferdiana,3
Ferdijana,3
Ferdije,13
Ferdoos,2
Ferdos,40
Ferdosa,5
Ferdoss,2
Ferdous,18
Ferdousi,4
Ferdows,4
Ferdus,6
Ferdusa,4
Fereal,3
Fereba,3
Ferede,2
Ferehiwot,2
Ferehiywot,2
Fereja,3
Ferel,3
Ferencné,6
Fereshta,54
Fereshtah,2
Fereshte,46
Fereshteh,231
Feresteh,2
Fereweini,4
Fereweyni,2
Ferewini,2
Ferewoini,2
Ferewyni,2
Ferha,16
Ferhan,13
Ferhana,2
Ferhat,3
Ferhiya,4
Feri,2
Ferial,166
Feriala,3
Feriale,2
Feriba,10
Ferida,119
Feride,188
Feriel,5
Feriha,7
Ferihan,5
Ferija,2
Feril,2
Ferisa,8
Ferishta,13
Feriyal,5
Feriye,2
Feriza,2
Ferizat,4
Ferja,2
Ferjal,3
Ferjin,3
Ferka,6
Ferland,3
Ferman,2
Fermesk,6
Fermina,6
Fermisk,3
Fern,13
Fernanda,172
Feronika,2
Ferooza,2
Feroz,9
Feroza,13
Ferozan,3
Ferrah,2
Ferry,2
Fershte,2
Fertun,2
Fertuna,8
Ferus,5
Feruz,57
Feruza,24
Feruzahon,2
Ferwine,2
Ferwyni,2
Fery,3
Ferya,3
Feryal,103
Feryan,2
Ferzada,2
Ferzana,4
Ferzie,2
Ferzije,3
Festa,7
Festime,3
Festina,18
Feta,2
Fetene,2
Fetha,2
Fethawit,3
Fethaya,2
Fethia,5
Fethiya,4
Fethiye,5
Feti,4
Fetia,3
Fetie,9
Fetihiya,2
Fetija,20
Fetije,60
Fetiya,2
Fetiye,7
Fetnat,2
Fetoun,2
Fetyen,2
Feven,282
Feven Araya,2
Fevronia,4
Fevzie,3
Fevzija,2
Fevzije,10
Fevziye,3
Fexhrije,9
Fey,4
Feyme,4
Feynus,3
Feyona,3
Feyori,2
Feyrouz,5
Feyroz,5
Feyrus,4
Feyruz,5
Feyruza,2
Feysa,2
Feyza,22
Feyzanur,2
Feza,7
Fezeh,2
Fezzeh,2
Ffion,5
Fhamida,2
Fhanny,3
Fhebe,3
Fhelicia,2
Fhilippa,6
Fi,2
Fia,671
Fiali,2
Fia-Lisa,4
Fialotta,2
Fia-Lotta,11
Fia-Maria,3
Fiammetta,2
Fia-Stina,2
Fibi,8
Fibronia,2
Fiby,2
Fictoria,2
Fida,33
Fidaa,39
Fidae,3
Fidan,87
Fidana,4
Fidane,7
Fidanete,2
Fidanka,2
Fidarije,3
Fidaye,2
Fidda,2
Fiddeli,17
Fiddelie,7
Fideli,129
Fidelia,6
Fidelie,44
Fidelina,2
Fideline,4
Fidelite,2
Fidencia,2
Fides,5
Fidji,2
Fidra,4
Fie,12
Fien,2
Fieruz,10
Fiesta,2
Fieven,2
Fifa,2
Fife,2
Fiffi,11
Fifi,16
Fifian,5
Figan,2
Figen,42
Fighan,2
Fihaa,2
Fihima,3
Fija,9
Fijolla,2
Fijona,6
Fika,3
Fikadu,6
Fiker,4
Fikerte,3
Fikir,3
Fikirte,14
Fikneta,2
Fiknete,12
Fikra,7
Fikrane,2
Fikrat,2
Fikre,2
Fikret,4
Fikreta,140
Fikrete,11
Fikria,2
Fikrié,3
Fikrie,6
Fikrija,9
Fikrije,56
Fikriye,27
Fikrte,2
Fiktoria,4
Filasten,2
Fildan,2
File,2
Fili,3
Filia,3
Filicia,18
Filip,8
Filipa,39
Filipha,7
Filippa,7539
Filippha,2
Filis,16
Filitsa,3
Filiz,225
Filize,2
Filizia,4
Filka,6
Fillie,3
Fillippa,7
Filloreta,21
Filly,3
Filmawit,19
Filmona,2
Filofteia,4
Filomena,36
Filomina,6
Filoreta,3
Filsan,104
Filseta,2
Filson,2
Filza,7
Filzah,2
Fima,8
Fimi,6
Fina,63
Finan,12
Finci,2
Finella,2
Finja,18
Finka,5
Finn,20
Fino,2
Finot,2
Finsk,2
Fiola,10
Fion,2
Fiona,639
Fionah,2
Fionna,3
Fionnuala,3
Fior,2
Fiora,6
Fioralba,2
Fiore,3
Fiorela,9
Fiorella,47
Fiorentina,4
Fiorenza,2
Fiori,69
Fiory,9
Fiqirete,3
Fira,3
Firangiz,3
Firasat,2
Firdaous,8
Firdaus,9
Firdaws,8
Firdawsa,4
Firdes,14
Firdesa,7
Firdeus,2
Firdevs,12
Firdews,11
Firdos,15
Firdosa,5
Firdous,5
Firdows,2
Firdowsa,10
Firdus,2
Fireal,2
Firehiwot,7
Firel,15
Firell,2
Firelle,2
Fireweini,4
Fireweyni,6
Firewini,2
Firewoini,2
Firewoyni,2
Firial,11
Firiba,2
Firil,4
Firiyal,4
Firmesk,7
Firmina,4
Firnaza,2
Firoozeh,12
Firouz,2
Firouza,3
Firouzeh,37
Firoza,10
Firozan,2
Firoze,5
Firozeh,17
Firtuna,2
Firuz,3
Firuza,21
Firuzan,2
Firuze,3
Firuzeh,3
Firyal,42
Firyan,4
Firyel,3
Fisho,2
Fisun,2
Fithawit,29
Fithi,3
Fitnete,26
Fitore,117
Fitri,4
Fitsum,6
Fitwie,2
Fivi,3
Fix,2
Fixhrije,3
Fiyona,4
Fiyori,58
Fiyory,3
Fiza,21
Fizza,20
Fizzah,2
Fjola,11
Fjóla,3
Fjolla,18
Fjollë,2
Fjona,6
Fjoralba,3
Fjorda,4
Fjorela,2
Fjorentina,2
Fkadu,8
Fkri,2
Flaka,12
Flaminia,4
Flamure,2
Flank,2
Flanza,3
Flarid,2
Flaureta,2
Flavia,101
Flávia,9
Flaviana,8
Flavie,2
Flavienne,2
Flerida,2
Fleta,2
Fleur,32
Flinga,5
Flint,2
Flisa,16
Flisan,2
Fliza,3
Fljorija,2
Fljorije,6
Fljurije,2
Fllanza,11
Flmawit,2
Flo,7
Floare,9
Floarea,28
Flogerta,2
Flona,6
Floor,16
Floortje,3
Flor,81
Flora,967
Floralba,2
Florance,7
Floranda,6
Florangel,3
Florans,6
Floransa,4
Flordelisa,2
Flordeliz,3
Flordeliza,12
Flordeluna,2
Flore,10
Florena,3
Florenc,2
Florenca,5
Florence,829
Florencia,64
Florens,42
Florense,7
Florenta,19
Florentia,2
Florentina,218
Florentine,12
Florenz,2
Florenze,4
Floresa,3
Floresha,5
Florette,2
Flori,6
Floria,16
Florian,2
Floriana,26
Floriane,7
Florica,43
Florida,37
Floride,2
Florie,23
Florija,4
Florijana,7
Florije,73
Florijeta,2
Florika,7
Florin,3
Florina,95
Florinda,20
Florine,9
Florineta,4
Florinka,2
Floris,2
Florissa,2
Florita,3
Florjana,3
Florrie,2
Florry,3
Flory,21
Flour,6
Fluri,2
Flurie,3
Flurija,2
Flurije,39
Flurina,2
Fluter,2
Flutra,20
Flutur,6
Flutura,22
Flynn,4
Flyura,3
Fnan,10
Fnot,3
Foatem,2
Foda,4
Fojan,3
Fola,2
Folake,2
Folasade,7
Folashade,2
Folla,2
Foluke,2
Fon,2
Fonda,3
Fong,10
Foni,2
Foong,2
Foos,59
Foosiya,8
Foosiyo,2
Foozia,2
Foqia,2
Forat,8
Fordos,2
Fordosa,2
Fordowsa,3
Fordowso,2
Forogh,13
Foroogh,16
Foroozan,3
Foroozandeh,3
Forough,28
Forouz,2
Forouzan,32
Forouzandeh,6
Forozan,14
Forozandeh,2
Forsat,5
Fortesa,15
Fortona,2
Fortun,4
Fortuna,26
Fortunata,6
Fortunate,2
Fortune,2
Forugh,2
Foruzan,4
Fos,8
Fosia,17
Fosio,3
Fosiya,32
Fosiyo,5
Foteini,49
Fotima,14
Fotini,79
Fotoun,4
Foua,2
Foujan,2
Fourat,3
Fousia,3
Fouz,3
Fouza,8
Fouzia,92
Fouzie,3
Fouzieh,17
Fouziya,5
Fouziye,2
Fouziyeh,2
Fows,2
Fowsia,20
Fowsio,6
Fowsiya,34
Fowsiyo,27
Fowzia,35
Fowzio,3
Fowziya,6
Fowziyo,5
Fox,2
Foza,5
Foze,2
Fozea,2
Fozhan,2
Fozia,95
Foziah,2
Fozie,2
Fozieh,12
Foziya,6
Foziyeh,4
Fozya,5
Fragancia,3
Fran,5
Franca,58
France,3
Francelina,3
Franceline,3
Frances,230
Francesca,282
Franceska,22
Francess,5
Franchesca,10
Francheska,11
Franci,3
Francia,19
Francie,3
Franciele,2
Francielle,4
Francika,7
Francina,13
Francine,98
Francis,41
Francisca,196
Franciska,75
Franciszka,7
Francoise,61
Françoise,3
Francy,15
Francys,2
Franica,4
Frank,3
Franka,121
Frankie,26
Franscesca,2
Fransesca,3
Fransi,2
Fransina,2
Fransisca,9
Fransiska,7
Fransy,4
Frantseska,2
Frantzeska,2
Franzisca,2
Franziska,171
Frat,2
Frauke,36
Fraya,3
Frazia,2
Fre,5
Frea,4
Freal,4
Freba,6
Freda,17
Fredda,2
Freddie,23
Freddy,3
Frederica,16
Frederieke,3
Frederika,31
Frederike,15
Frederikke,22
Frederique,6
Frédérique,9
Fredina,3
Fredrica,192
Fredricia,2
Fredricka,2
Fredrik,3
Fredrika,1414
Fredrike,17
Fredrikke,4
Fredriqa,2
Freha,3
Frehiwet,26
Frehiwot,11
Freia,61
Freideriki,2
Freija,133
Freiya,10
Frej,4
Fréja,3
Freja,7072
Freja-Li,3
Freja-Lo,2
Frejda,3
Frejdis,3
Frejja,6
Frelina,2
Frena,6
Freselam,19
Freshta,55
Freshtah,3
Freshte,5
Freshteh,14
Fresia,26
Fressia,2
Freweine,3
Freweini,147
Freweiny,5
Freweni,6
Freweyini,5
Freweyni,73
Freweyny,2
Frewini,10
Frewoini,6
Frewoyni,2
Frewyni,2
Frey,2
Freya,953
Freyah,4
Freydis,3
Freyia,2
Freyja,170
Frial,22
Friba,9
Frid,8
Frida,2659
Frída,4
Fridah,21
Frida-Li,2
Frida-Lina,2
Frida-Lisa,2
Frida-Lo,2
Frida-Louise,3
Frida-Maria,8
Frida-My,2
Frida-Sofi,2
Friday,4
Fridbjörg,2
Fride,6
Frideborg,60
Friderika,2
Friderike,3
Frideriki,11
Fridha,26
Fridolina,3
Frieda,56
Friedel,5
Friederike,63
Friederun,2
Friedrike,3
Friedrun,2
Frigg,6
Frigga,10
Friida,5
Frimodigs,2
Frishta,43
Fritze,3
Fritzi,2
Fritzie,3
Fritzy,2
Friza,2
Frmesk,6
Fro,2
Frohar,2
Frosina,11
Frost,14
Frough,4
Froukje,5
Frouwke,2
Frouzan,5
Frozan,22
Frshta,2
Frtuna,13
Fruta,2
Fruzsina,11
Fryal,20
Fryda,2
Fryderyka,3
Frö,8
Fröja,17
Fröjdis,7
Frøya,8
Fröya,2
Frøydis,2
Fröydis,15
Fsaha,2
Fteim,7
Fthawit,26
Ftim,4
Fu,5
Fuad,2
Fuada,5
Fuangfa,4
Fudia,2
Fuhui,2
Fujiko,2
Fula,2
Fulla,8
Fulvia,3
Fulya,9
Fumi,5
Fumiko,12
Fumiyo,3
Funda,56
Fundesa,2
Fung,11
Funke,3
Funmilayo,7
Funmilola,2
Funny,5
Fuqin,2
Furaha,24
Furat,14
Furdos,2
Furkan,3
Furogh,2
Furong,2
Furqaan,2
Furqan,6
Furtuna,67
Fusae,2
Fusia,4
Futoun,9
Futun,2
Fuyan,2
Fuying,2
Fuzhen,2
Fuzia,2
Fuzie,3
Fyan,3
Fyffe,2
Fügen,2
Fylgia,3
Fyona,3
Fyori,56
Füsun,8
Ga,3
Gabbi,5
Gabbie,2
Gabi,16
Gabija,77
Gabina,2
Gaborne,3
Gaborné,2
Gáborné,2
Gabraiela,2
Gabraila,4
Gabreila,3
Gabreilla,2
Gabrella,2
Gabriala,3
Gabriel,23
Gabriela,1312
Gabriela-Cristina,3
Gabriela-Emilia,2
Gabriela-Iuliana,2
Gabriele,316
Gabrielé,12
Gabrielè,2
Gabriéle,2
Gabriell,14
Gabriella,6099
Gabriélla,2
Gabrielle,598
Gabriélle,4
Gabrijela,77
Gabrijella,3
Gabrila,3
Gabrilla,2
Gabriyela,2
Gaby,112
Gacia,2
Gada,49
Gadah,7
Gadeer,4
Gader,5
Gadir,18
Gaeda,2
Gael,5
Gaël,2
Gaela,2
Gaell,2
Gaella,5
Gaelle,17
Gaëlle,16
Gagan,4
Gagana,3
Gagandeep,3
Gahar,2
Gai,3
Gaia,82
Gaiane,9
Gaida,7
Gail,36
Gailan,14
Gaile,2
Gait,2
Gaja,14
Gajane,12
Gakleen,2
Gaklin,3
Gakuru,2
Gal,3
Gala,14
Galadriel,3
Galara,2
Galatea,3
Galatia,3
Galawash,2
Galawej,2
Galawesh,18
Galavesh,3
Galawez,10
Galawezh,12
Galawish,8
Galavizh,8
Galaxia,3
Gale,2
Galea,2
Gali,4
Galia,28
Galiah,2
Galija,2
Galila,6
Galina,435
Galini,5
Galit,4
Galiya,5
Galja,2
Galla,2
Galya,15
Galyna,42
Gamar,2
Gamela,3
Gamila,15
Gamilah,4
Gamuchirai,2
Gamze,102
Gana,35
Ganah,3
Ganan,6
Ganat,4
Ganchimeg,20
Ganda,2
Gandom,2
Ganet,6
Gang,4
Ganga,14
Gani,7
Gania,4
Ganime,7
Ganimet,12
Ganimeta,3
Ganimete,141
Ganira,4
Ganit,2
Ganjana,2
Ganka,3
Ganna,60
Gannat,4
Gannica,2
Gannika,2
Gansukh,2
Gantogoo,2
Gantsetseg,13
Gantungalag,3
Gantuul,2
Gantuya,13
Ganya,2
Gao,2
Gaowa,2
Gara,3
Garam,2
Garance,5
Garbo,3
Garda,2
Gardenia,8
Gardinia,2
Gargi,9
Gariba,6
Garibi,5
Garifalia,4
Garima,28
Garina,2
Garine,5
Gariné,4
Garita,2
Garmian,2
Garmiyan,3
Garmyan,2
Garnet,3
Garni,4
Garvita,2
Garyfallia,2
Gasak,2
Gasha,8
Gashaw,17
Gashawa,2
Gashbin,13
Gasira,2
Gassia,2
Gathania,2
Gaudence,8
Gauhar,2
Gaurangi,2
Gauri,18
Gaurika,2
Gawaher,4
Gawhar,9
Gawhara,3
Gavkhar,3
Gavkharoy,2
Gavriela,2
Gay,4
Gaya,3
Gayane,50
Gayani,5
Gayanie,3
Gayathiri,4
Gayathri,43
Gayathry,2
Gayatri,25
Gaydaa,2
Gaye,8
Gayle,8
Gaynor,2
Gaytri,2
Gazal,65
Gazala,5
Gazale,8
Gazaleh,2
Gazali,16
Gazang,7
Gazel,8
Gazelle,2
Gazi,2
Gazia,2
Gaziza,6
Gazize,2
Gazo,4
Gbemisola,5
Gdey,3
Ge,9
Gea,17
Gean,3
Geana,2
Geanette,3
Geanina,22
Gebaynesh,2
Gebreala,2
Gebriala,2
Gebriela,7
Gebriella,2
Geday,4
Gedi,2
Gedir,2
Gediyo,2
Gee,2
Geehan,2
Geela,2
Geen,4
Geena,7
Geertje,8
Geertruida,21
Geet,2
Geeta,23
Geetali,2
Geetanjali,3
Geetha,25
Geethanjali,2
Geethika,4
Geethu,4
Geeti,4
Geetika,7
Gefei,2
Gefjon,2
Gegee,3
Gegeelen,6
Gegeen,3
Gehad,3
Gehan,22
Gehin,2
Gehn,3
Geidi,2
Geije,2
Geine,7
Geinet,2
Geira,3
Geity,2
Gela,3
Gelan,3
Gelara,2
Gelare,4
Gelareh,16
Gelas,16
Gelawej,2
Gelavij,3
Gelavish,2
Gelayol,2
Geldona,2
Gelena,8
Geli,3
Gelila,108
Gelilla,4
Gelina,2
Gelinda,2
Gellila,2
Gelsomina,2
Gelva,2
Gely,2
Gem,2
Gema,23
Gemila,7
Gemima,8
Gemina,4
Gemma,117
Gen,41
Gena,28
Genalda,2
Genalyn,6
Genan,13
Genda,2
Gendi,3
Gene,31
Genelyn,2
Genen,2
Generosa,2
Generose,5
Génesis,4
Genesis,16
Genet,263
Geneth,2
Geneva,3
Genevia,2
Genevie,4
Geneviéve,2
Geneviève,8
Genevieve,53
Genevive,3
Geni,10
Genia,5
Genifer,2
Genisa,3
Genit,2
Genita,9
Genith,2
Genja,7
Gennet,14
Genny,5
Genovaite,7
Genowefa,47
Genovefa,4
Genoveva,16
Genrietta,2
Genta,15
Gentiana,120
Gentianë,3
Gentijana,22
Gentijane,2
Gentjana,6
Genwa,2
Geny,5
Geomana,4
George,4
Georgeet,2
Georgeina,3
Georget,23
Georgeta,81
Georgete,4
Georgett,4
Georgette,175
Georgi,3
Georgia,307
Georgiana,75
Georgiana-Cristina,2
Georgianna,2
Georgina,208
Georgine,8
Georgit,2
Georgitte,3
Georjina,2
Geovana,5
Geralda,2
Geraldin,2
Geraldina,7
Geraldine,110
Géraldine,8
Geraldinne,2
Gerarda,5
Gerd,1123
Gerd Inger,3
Gerd Marie,2
Gerda,928
Gerda-Maria,2
Gerd-Britt,4
Gerdh,10
Gerdi,5
Gerdie,4
Gerd-Inger,8
Gerd-Ingrid,2
Gerdis,5
Gerd-Lis,2
Gerd-Louise,6
Gerd-Mari,10
Gerd-Marie,10
Gerd-Sofi,2
Gerdur,7
Gerdy,29
Gerel,3
Gerelmaa,11
Gerelsaikhan,2
Gereltsatsral,2
Gereltsetseg,7
Gereltuya,5
Gergana,35
Gergina,2
Gergis,3
Gergish,3
Gerhild,9
Geri,2
Gerit,2
Gerlee,3
Gerli,11
Gerlie,3
Gerlinde,41
Gerline,2
Gerly,6
Germaine,24
Germana,5
Germawit,2
Germin,2
Gerola,2
Geronima,2
Gerrie,2
Gerritdina,3
Gerry,7
Gert,2
Gerta,15
Gerthi,7
Gerthie,18
Gerthrud,2
Gerthy,34
Gerti,78
Gertie,510
Gertine,2
Gertis,3
Gertraud,18
Gertraude,12
Gertrud,3259
Gertruda,13
Gertrude,70
Gertrudes,3
Gertrudis,2
Gerty,206
Gertzie,2
Gertzy,2
Gerusa,2
Gesa,17
Gesar,2
Gesche,2
Gesi,2
Gesica,2
Gesina,4
Gesine,19
Geska,2
Gessica,6
Gesthimani,3
Geta,10
Gete,3
Gethel,3
Geti,2
Getrude,10
Gette,2
Getty,4
Getulia,2
Gevher,2
Geyan,2
Geye,2
Gezachin,2
Gezal,3
Gezel,2
Gezime,11
Gezina,4
Gfran,3
Ghada,536
Ghadah,48
Ghadam,2
Ghade,4
Ghadeer,58
Ghader,19
Ghadi,2
Ghadir,96
Ghadra,3
Ghaeda,2
Ghafran,7
Ghaid,3
Ghaida,19
Ghaidaa,56
Ghaidda,2
Ghaithaa,11
Ghala,14
Ghali,3
Ghalia,94
Ghaliah,5
Ghalie,2
Ghalieh,3
Ghaliya,7
Ghalo,2
Ghalya,16
Ghalyah,3
Ghalyh,2
Ghamar,14
Ghamgin,2
Ghana,11
Ghania,20
Ghanima,5
Ghaniya,3
Ghaniyah,4
Ghanwa,5
Gharam,30
Gharbia,2
Ghareeba,6
Ghariba,15
Ghasak,3
Ghasal,2
Ghasaq,11
Ghasoun,3
Ghassak,2
Ghaya,2
Ghayad,2
Ghayda,3
Ghaydaa,17
Ghaythaa,2
Ghazaal,2
Ghazal,381
Ghazala,67
Ghazalah,4
Ghazale,12
Ghazaleh,64
Ghazali,2
Ghazel,9
Ghazia,4
Ghazieh,2
Ghazl,12
Ghazwa,14
Ghea,2
Ghebriela,6
Gheda,4
Ghedaa,2
Ghedir,2
Gheed,4
Ghefran,5
Ghelila,5
Ghena,130
Ghenaa,5
Ghenet,118
Ghenia,2
Ghennet,5
Ghenwa,27
Gheorghina,3
Gheorghita,11
Gherd,2
Gherghina,8
Ghesoun,3
Ghezal,7
Ghezel,9
Ghezlan,2
Ghfran,8
Ghia,11
Ghid,7
Ghida,4
Ghidaa,4
Ghiday,2
Ghidei,6
Ghidey,32
Ghimja,2
Ghina,102
Ghinwa,19
Ghirmawit,4
Ghisa,5
Ghiselle,2
Ghislaine,9
Ghita,42
Ghiwa,2
Ghizal,2
Ghizela,3
Ghizlane,41
Ghna,6
Ghnwa,3
Ghodsi,8
Ghodsieh,4
Ghofran,90
Ghomri,4
Ghonche,2
Ghoncheh,4
Ghonwa,3
Ghorbat,5
Ghosn,2
Ghoson,12
Ghosoon,7
Ghosoun,19
Ghosson,4
Ghoufran,9
Ghoufrane,2
Ghouson,6
Ghousoun,2
Ghozlan,2
Ghram,2
Ghsoon,2
Ghsoun,3
Ghufran,134
Ghul,2
Ghulam,12
Ghunwa,3
Ghuroub,3
Ghuson,3
Ghusoon,16
Ghusoun,20
Ghussoun,10
Ghyslaine,4
Ghzal,5
Ghzala,3
Gi,5
Gia,97
Gia Han,2
Gia Le,2
Giaband,2
Giada,19
Giai,2
Gian,11
Giana,7
Giancarla,2
Gianella,7
Giang,14
Gianina,26
Gianinna,3
Gianna,33
Giannella,3
Giannina,15
Giannoula,14
Giannula,2
Gianoula,3
Giao,2
Gica,3
Gicela,3
Gicuta,2
Gida,2
Giday,5
Gidena,2
Gideon,2
Gidey,16
Giedre,53
Giedré,13
Gieneke,2
Giesela,56
Gift,27
Giftings,3
Gifty,18
Giggi,16
Gigi,37
Gigja,3
Gígja,3
Gigliola,3
Gihad,3
Gihan,31
Gihane,3
Gil,9
Gila,23
Gilan,4
Gilana,2
Gilas,2
Gilberte,6
Gilcia,2
Gilda,123
Giler,2
Gili,3
Giliana,2
Gill,347
Gilla,18
Gillan,4
Gilles,2
Gillian,76
Gilliane,2
Gilma,10
Gilten,2
Giltena,3
Giltene,2
Gilyan,2
Gimena,5
Gimja,5
Gin,7
Gina,872
Ginah,2
Ginalyn,5
Gina-Maria,3
Gina-Marie,2
Ginan,13
Gine,5
Ginelyn,2
Gineta,2
Ginette,18
Ginevra,8
Ging,2
Ginger,116
Gini,7
Ginka,8
Ginn,5
Ginna,10
Ginni,5
Ginnie,12
Ginny,51
Gino,4
Ginta,11
Gintare,67
Gintaré,12
Ginté,2
Gio,4
Gioconda,6
Gioia,13
Gioninta,2
Giordana,4
Giordanka,3
Giorgia,34
Giorgiana,6
Giorgina,2
Giovana,16
Giovanna,125
Gira,3
Girija,6
Girlie,8
Girly,4
Girmawit,4
Girom,3
Gisel,3
Giséla,5
Gisela,1450
Gisele,67
Giséle,14
Gisèle,5
Gisella,37
Gisélle,2
Giselle,85
Giselly,2
Gislaine,2
Gisma,5
Giso,4
Gisoo,4
Gisou,2
Gissel,3
Gissela,6
Gissele,2
Gissella,7
Gisselle,8
Git,440
Git Marie,2
Gita,141
Gitana,24
Gitanjali,3
Gitel,2
Gith,184
Githa,10
Githe,3
Gith-Marie,3
Giti,53
Gitiya,2
Git-Mari,2
Git-Marie,10
Gits,4
Gitsa,2
Gitsy,3
Gitt,90
Gitta,41
Gittan,188
Gitte,444
Gittel,10
Gitten,16
Gitti,9
Gitt-Mari,2
Gitt-Marie,2
Gittse,3
Gitty,7
Gity,25
Gitze,2
Giuditta,6
Giulia,186
Giuliana,35
Giulietta,4
Giulliana,2
Giuseppa,6
Giuseppina,25
Giusy,4
Givana,2
Giza,4
Gizela,62
Gizella,67
Gizelle,13
Gizem,91
Giziawit,2
Gizing,4
Gjansu,2
Gjejlan,6
Gjejlane,5
Gjejran,3
Gjelan,2
Gjemajlije,2
Gjemile,7
Gjemilja,2
Gjendine,2
Gjeneta,4
Gjenita,2
Gjerovica,2
Gjertrud,7
Gjevahire,9
Gjeve,2
Gjevrie,2
Gjevrije,6
Gjezide,4
Gjina,2
Gjula,4
Gjulbear,2
Gjulfidan,5
Gjulijeta,2
Gjulizar,5
Gjuljeta,3
Gjulten,5
Gjurgjica,2
Gjusta,2
Gjyla,9
Gjyle,15
Gjylferije,3
Gjylfidan,2
Gjylfidane,2
Gjylije,3
Gjyljeta,7
Gjylshah,7
Gjylsime,2
Gjylsyme,2
Gjyzel,2
Gjyzide,2
Gjördis,6
Gkloria,2
Glades,6
Gladiola,3
Gladis,34
Gladise,2
Gladness,3
Gladwel,2
Glady,5
Gladys,315
Glafira,3
Glaiza,6
Glara,13
Glare,2
Glareh,2
Glaucia,2
Glawesh,2
Glayol,3
Gledisa,2
Glena,30
Glenda,42
Glendy,3
Glenis,2
Glenny,3
Glenys,4
Gliceria,3
Glikeria,3
Glimma,9
Glimra,3
Glittra,5
Glodie,3
Glody,2
Gloire,2
Glória,2
Gloria,803
Gloriana,2
Gloribel,2
Glorie,2
Glorija,17
Gloriose,4
Glory,43
Glykeria,10
Glyn,2
Glädis,2
Glädje,3
Gmar,2
Gna,3
Gnana,3
Gnanawathie,2
Gnei,3
Gnima,3
Go,2
Goar,3
Goca,2
Gocki,4
Goda,30
Godance,2
Gode,2
Godelieve,5
Godelive,4
Gody,2
Goedele,2
Goel,2
Goeun,2
Goey,3
Gofran,14
Goga,2
GoGo,2
Gohar,66
Goharik,4
Goharshad,2
Gohartaj,2
Gol,20
Gola,2
Golab,4
Golabakh,2
Golafshan,2
Golala,21
Golalah,3
Golalai,4
Golale,4
Golaleh,21
Golan,13
Golandam,5
Golara,2
Golav,3
Golbagh,2
Golbahar,5
Golbakh,2
Golbarg,5
Golchehreh,3
Golchin,7
Gold,3
Golda,13
Goldi,2
Goldie,6
Goldis,8
Goldit,11
Goldy,9
Gole,3
Golestan,10
Goli,18
Golia,2
Golistan,4
Golizar,2
Goljahan,2
Goljamin,2
Goljan,2
Goll,2
Golla,3
Golnam,2
Golnar,15
Golnas,2
Golnaz,65
Golnesa,3
Golnoosh,4
Golnosh,3
Golnoush,4
Golozar,2
Golpar,3
Golriz,7
Golrokh,11
Golsa,10
Golshah,2
Golshan,20
Golshid,2
Golsom,3
Golsoum,2
Golstan,5
Golsum,2
Golubica,2
Goly,2
Golzar,17
Gomana,12
Gomathi,6
Gomathy,5
Gona,45
Gonca,17
Goncagül,3
Gonda,3
Gong,3
Gongje,2
Gonnie,3
Gonxhe,6
Good,2
Goodness,5
Goomaral,7
Goo-Maral,2
Gorana,38
Goranka,9
Gorda,2
Gordana,639
Gordica,2
Gore,2
Gorgeit,2
Gorgeous,2
Gorget,7
Gorgina,6
Gori,6
Gorica,71
Gorinka,2
Goritsa,2
Gorjanka,2
Gorka,2
Gorreth,2
Gorreti,3
Goshia,2
Gosia,15
Goson,3
Gosoun,2
Gospa,8
Gospava,24
Gospe,2
Gospojinka,2
Gospova,5
Gossas,4
Gosson,4
Gota,2
Gotton,4
Gotty,15
Goud,2
Gouhar,2
Goulia,2
Goulnar,3
Goulnara,3
Goumana,2
Gounir,2
Gouri,3
Gouthami,2
Govand,3
Govar,4
Govhar,3
Gowhar,5
Gowri,3
Gowthami,8
Goya,2
Gozal,5
Gozel,4
Graca,7
Grace,659
Grâce,3
Grace Kelly,3
Gracelda,3
